,e0e9a0df-7052-4d42-b3fd-10ee23ceae62
PRKD3,2360
DCAF17,822
QPCT,254
RAB3GAP1,3098
SLC25A12,1023
RMDN2,732
DLX2,2
LCT,2
DARS1,3097
SRSF7,7125
SDC1,12791
PLCL1,656
SLC1A4,876
SOS1,3223
KYNU,1041
WIPF1,6506
ORC2,1411
COX7A2L,3562
PNO1,438
ORC4,1326
PLEK,4073
RND3,1586
ATF2,2362
THADA,2188
AAK1,3340
TRAK2,4013
C2orf42,414
TIA1,6984
PCYOX1,9369
KISS1R,2
EPAS1,72151
ARID3A,1147
SUMO1,3175
CD207,199
GRIN3B,157
VAX2,9
ATP6V1B1,6
NFE2L2,6723
MSH6,1661
PLEKHA3,1241
SPR,1086
EPHA4,1009
PARD3B,1336
FARSB,1249
ALMS1,1300
BCL9,974
PRRX1,1198
DHCR24,26628
DNAJC16,1170
MARK1,247
TNR,452
MORN1,316
GPX7,403
CACYBP,1684
SCP2,6046
TPSG1,64
PAPPA2,11
RALGPS2,586
ANGPTL1,432
CEP104,1963
FAM20B,3172
TCEANC2,667
TMEM59,13010
LRRC42,736
WRAP73,1354
NPHS2,0
MRPL37,1776
ICMT,3413
RPL22,5831
CHD5,23
QSOX1,21069
STXBP3,2460
PHF13,1126
ERRFI1,8148
PARK7,4495
ELAPOR1,565
OPRD1,18
AMPD2,1809
SRSF4,6815
MECR,616
KCNC4,1750
EDEM3,2876
WDR77,601
ATP5PB,4175
RAP1A,6094
HDAC1,3658
CAPZA1,6757
S100PBP,2098
RNF19B,2565
SCAMP3,3099
TRIM62,427
ASH1L,3833
DLGAP3,22
SFPQ,14250
RHOU,2089
GON4L,2457
ARHGEF2,22648
LAMTOR2,1245
MEF2D,5560
DOCK7,1433
SRM,1415
FBXO2,300
FBXO6,815
C1orf21,3541
SWT1,434
MAD2L2,806
DNAJC6,308
LEPR,3566
IVNS1ABP,10236
KIAA2013,3003
MFN2,5720
PRG4,1181
MIIP,1733
SMG7,4518
NCF2,6335
PDC,5
SLC35D1,987
PLA2G4A,407
GADD45A,1258
PRAMEF1,0
PRAMEF12,0
WLS,3253
PRDM2,3447
RGS2,2890
RPE65,0
RO60,1479
AMPD1,29
UCHL5,1211
BCAS2,1060
SRSF11,12314
CTH,156
AGMAT,41
OLFML3,2488
TNNI3K,0
CFHR3,23
PLEKHM2,6019
CRYZ,2080
PHTF1,912
ZBTB17,1697
CD58,1074
TFAP2E,184
CD2,2208
TTF2,801
NR5A2,445
KIF21B,1915
TMEM9,3496
ADPRS,1890
MAP7D1,7706
WARS2,395
HAO2,2
OSCP1,414
MRPS15,1641
EXOC8,952
GNPAT,2377
TSNAX,1721
C1orf109,536
RRAGC,1073
NID1,4571
LGALS8,3407
NT5C1A,2
HPCAL4,40
MTR,3575
BMP8B,140
MYCL,584
SIPA1L2,2665
ZP4,0
RLF,1298
KMO,363
ZNF684,175
KCNQ4,205
RIMS3,662
AKT3,2074
ETV3,1832
ACADM,2415
ST6GALNAC5,954
SLAMF1,496
CD48,750
ADGRL2,5551
PADI2,930
SDHB,2386
MFAP2,246
RPF1,1134
KDM5B,3361
UAP1,1379
ACTL8,0
CTBS,294
RGS4,110
KLHL12,1712
IGSF21,65
SSX2IP,537
ZNHIT6,965
PLA2G2D,961
RBBP5,1104
GBP3,2840
GBP1,4244
KIF17,404
GPR89A,133
CDK18,2795
RAB29,1507
CD160,98
ECE1,8775
HMGCL,2373
GALE,1724
ID3,4836
CR2,71
CD46,15583
PRPF3,2998
APH1A,7869
P3H1,1609
SLC2A1,513
EBNA1BP2,1345
CDC20,144
MPL,97
ARTN,33
IPO13,1909
ATP6V0B,5804
B4GALT2,981
ERI3,1671
PTCH2,254
AKR1A1,5622
PRDX1,6851
PIK3R3,1225
TSPAN1,1089
BLZF1,876
CCDC181,77
SLC19A2,1771
FAAH,1655
NSUN4,1264
TMED5,5142
MROH9,29
DR1,3087
CNN3,8634
PRRC2C,8677
F3,5266
ABCD3,3178
VAMP4,1698
DPH5,713
FASLG,98
PTBP2,1281
TNFSF4,123
PRDX6,10745
DARS2,775
HSD11B1,535
IRF6,1568
UTP25,876
PLPPR5,1
PLPPR4,154
SERPINC1,11
RCAN3,1300
SYF2,2634
RSRP1,6329
SLC35A3,2236
RCOR3,3494
STMN1,3217
MTFR1L,1643
MAN1C1,1275
NEK2,40
RPS6KA1,6934
DHDDS,1746
NENF,1829
NSL1,1096
PROX1,186
ARID1A,7609
CENPF,334
RPA2,1655
PPP1R8,1352
STX12,4781
MTARC2,2626
SLC5A9,125
OSBPL9,5290
TXNDC12,169
ESYT2,7516
POLR1G,91
MESD,2085
RCN2,2079
CHRNB4,5
MUC5B,667
CTSD,91066
COLEC11,61
STAG1,1364
A4GNT,4
STK11,3701
KMT2A,5101
TREH,38
IFT46,929
MMP8,0
APOA1,22
ZNF541,58
SLC8A2,4
KPTN,240
RPS25,14950
KIF14,52
TNNT2,70
DDX59,838
CAMSAP2,2403
ATF6,3066
CRYGD,0
MREG,1412
TNP1,0
FASTKD2,1676
NRP2,5340
CREB1,3146
KLF7,2834
TTR,1
B4GALT6,202
C1orf54,398
CA14,31
CFAP94,133
IRAG2,580
ATP10B,112
SPCS2,1456
USP35,621
ELOVL4,34
FILIP1,1420
CASP8AP2,952
HMGN3,3349
UBE3D,174
CNR1,507
SPACA1,0
ANKRD13C,1433
SGIP1,984
PHF3,4904
ZC2HC1B,0
ADGB,70
PLAGL1,3743
FBXO30,1002
TNFAIP3,10842
AKAP7,570
RAB32,2280
MYB,195
ALDH8A1,46
SGK1,18009
RNF146,2693
ARG1,14
CCN2,21176
TCF21,1906
PMFBP1,81
FBXL5,6751
MED28,2765
SLC16A7,610
RXYLT1,298
ZNF430,593
VAMP8,7055
DCLRE1B,643
MYL12B,15261
FOXO3,3695
ARMC2,332
GHRH,0
RPN2,9914
TGIF2,1664
CASQ2,191
OLFM3,1
PKD2,2262
ABCG2,514
SPP1,1356
STBD1,77
CCNI,19323
RARRES1,1191
MFSD1,7927
RAB3GAP2,2134
EEF2KMT,159
PPL,7543
UBN1,3242
KLF12,973
UCHL3,45
PCDH17,2556
HS1BP3,2318
LDAH,835
WDR35,1004
CCND2,2899
FGF23,0
ELL2,4153
DNAH7,201
CYP20A1,1874
NDUFB3,778
GTF3C3,1412
SATB2,206
UBE2B,3319
TRPM6,57
GDA,4
KLF9,5852
TJP2,302
ECRG4,234
ITGB1BP1,2193
CPSF3,1292
PIGZ,267
SENP5,2229
CCDC92,4601
C1orf198,13182
TRIM67,2
HEATR1,1192
PTBP3,6345
RAD23B,5311
FKBP15,5516
CTNNAL1,4930
ABITRAM,773
DYNC2I2,2567
SET,8710
PTPA,5259
GLE1,1616
RAB14,8836
CNTRL,2119
TRIM32,616
FBXW2,4647
PHF19,1370
NEK6,2936
BSPRY,630
PPP6C,3726
NDUFA8,1013
HDHD3,937
RBM18,1378
SLC46A2,399
HSDL2,3770
MAPKAP1,2504
NR4A3,962
INVS,682
GALNT12,719
DENND1A,1051
ALG2,1642
CSF3R,7086
KDSR,3201
VPS4B,3001
ONECUT2,16
C19orf25,1215
ZBTB45,694
YLPM1,3971
DCAF4,560
PROX2,33
VSX2,3
FCF1,1683
PGF,116
IFI27L2,1035
BBOF1,276
NEK9,5076
ACYP1,276
IFT43,707
NPC2,20069
DNAL1,953
IRF2BPL,2534
ACOT2,1005
LTBP2,21594
AREL1,2329
MLH3,1195
TTLL5,1128
FLVCR2,1808
ABCD4,3090
DLST,5087
PPP4R4,204
TGFB3,1167
ZC2HC1C,209
SLIRP,723
RBM25,8461
ALDH6A1,1776
GPR68,743
ESRRB,14
EIF2B2,739
NRDE2,1036
COQ6,291
ZNF410,64
RHOQ,3085
GPR75,47
SUPT7L,2669
KLHL29,679
DNMT3A,2762
TMEM214,4431
ATAD2B,1322
FKBP1B,87
ATL2,3135
YPEL5,6272
FAM98A,1255
YIPF4,3650
AFTPH,2912
LGALSL,2464
CNRIP1,1051
BCL11A,586
CRIPT,1160
EPCAM,4882
SLC17A5,1957
OGFRL1,3150
SLF2,2566
IDE,1696
TECTB,3
ELOVL3,31
IFIT3,4088
NKX2-3,0
IFIT2,2070
GPAM,673
CUTC,741
PPP1R3C,574
PYROXD2,924
CNNM1,27
MXI1,2127
SMNDC1,1631
C10orf88,441
HELLS,297
PRLHR,0
TCTN3,1753
DENND10,552
AVPI1,2171
WDR11,4438
ARMH3,2465
KCNIP2,148
CFAP58,85
GOT1,1044
CPN1,0
C10orf95,2
SFRP5,3642
GNA13,5040
HOXB8,7
KANSL1,4405
HOXB5,248
CRHR1,0
HOXB3,817
HOXB1,0
DUSP1,56726
PANK3,3302
MSX2,18
TEK,3620
RCL1,803
CAAP1,873
EQTN,1
MOB3B,1081
INSL6,36
INSL4,0
MLANA,25
CD274,861
IFNA6,0
IFNA8,0
GRIA2,5
NUP43,1793
MTHFD1L,649
LRP11,98
CCDC170,421
PCMT1,2053
PLEKHG1,1518
MYCT1,2000
CXorf21,479
MAGEB4,0
CYSTM1,3168
WDR55,1392
ARAP3,3444
PCDHB8,41
PCDHB10,106
PCDHB14,266
PCDHB12,126
SLC25A2,2
TNN,31
MRPS14,985
CENPL,175
TNFSF18,13
SEC16B,23
GORAB,714
GPR31,7
ACAT2,472
TCP1,4309
TTLL2,41
SNX19,3844
KCNJ5,2194
MSANTD2,1199
TP53AIP1,6
TEX11,0
ARR3,21
PDZD11,909
SLC10A7,672
NUDCD1,683
ENY2,2069
MASTL,511
KIAA1217,5814
LYZL1,0
PLXDC2,8606
EPC1,1668
IQSEC3,185
CCDC77,307
TAF12,832
ENOX1,58
TNFSF11,19
MTRF1,617
SOHLH2,3
DNAJC15,1975
PROSER1,2421
UFM1,3849
WBP4,755
ELF1,4704
SMAD9,1504
HSPH1,2984
KBTBD7,414
ALG5,1113
EXOSC8,1150
ETF1,6203
TGFBI,11511
FAM53C,1418
SIL1,1637
PAIP2,1325
MYOT,6
KDM3B,5048
EGR1,22023
SERP1,8451
PLS1,1415
ZFP30,492
NR2C1,2128
UTP20,1124
TMPO,3528
ARL1,3107
GLT8D2,459
MTERF2,932
SOCS2,2936
NFYB,2042
WASHC3,1031
APAF1,1351
DUSP4,1541
CLU,17869
TNFRSF10B,3612
SORBS3,7726
PTK2B,4940
CHRNA2,259
ADRA1A,198
PPP3CC,1066
PDLIM2,3509
EPHX2,1393
RNF170,1223
NPPB,0
UBIAD1,979
TARDBP,3557
TNFRSF8,225
PRAMEF2,0
ZNF706,2735
LYPLA1,2374
CRISPLD1,142
COPS5,1826
RDH10,1433
EPX,35
AKAP1,4141
COIL,769
TRIM25,3541
SCPEP1,7655
SPOP,3526
TBX2,10044
SLC35B1,1706
TBX4,3497
TEX14,65
FAM117A,1174
NCAPH,144
LRAT,34
TMEM131L,1441
MND1,0
TRIM6,235
ABCC11,5
TENT4B,1248
ADCY7,2569
CEP89,1241
TSHZ3,631
ECHDC2,6744
TAS2R8,0
PLBD1,2182
TAS2R10,9
PRB2,0
PYROXD1,466
IAPP,1
KCNJ8,1303
TAS2R7,0
BCL2L14,122
TAS2R9,0
PSPC1,1540
ZNF549,489
A1BG,6
ZSCAN18,2125
ZNF211,1136
PDZRN3,1022
RGSL1,0
LHX4,101
RNF2,890
TRMT1L,1065
SEC22A,616
CSTA,535
DPPA4,9
POPDC2,164
B4GALT4,874
NAA50,4067
CD80,198
KIF18A,144
GJA8,0
DESI2,3251
MAPK8IP1,369
CRY2,4080
PEX16,1191
DEPDC7,73
CAT,14318
PILRB,975
ZMYM2,4287
GJB6,2
GJA3,2
TBC1D15,2866
ADGRB2,146
HCRTR1,10
ZCCHC17,821
FABP3,849
KHDRBS1,6815
TMEM39B,851
CCRL2,1198
CCR2,716
POLR3GL,677
GHSR,1
TNFSF10,10980
ZNF639,1268
SLITRK3,15
PIK3CA,1653
PDS5A,6277
TMEM156,135
LIAS,780
CPXM2,366
TMEM54,1013
ZSCAN20,113
CSMD2,37
HPCA,4
LRIF1,482
TMIGD3,177
CLCC1,1112
GPSM2,361
GTDC1,1258
CXCR4,17080
ZRANB3,153
ACVR2A,830
POLK,1161
SV2C,26
FLT3,193
RPL21,7819
MTIF3,1106
GTF3A,2701
RASL11A,679
UBL3,5985
FYTTD1,2789
MTERF4,1771
XPNPEP2,59
SASH3,2721
OCRL,1748
PAEP,30
OBP2A,8
MRPS2,755
TBX22,2
FMOD,3611
MYOG,0
LAX1,332
PLG,8
KIAA1191,4518
COPA,9068
CD244,320
LY9,479
HS3ST2,1853
RBBP6,3230
ZC3H7A,3774
PRM2,0
SERAC1,482
ANXA11,14376
LDB3,359
OPN4,1
SHLD2,1215
PRXL2A,1894
ZNF205,497
NAA60,3388
RPL5,31251
ODF2L,2694
PTGFR,254
SPATA1,48
TRMT13,616
LRRC39,73
RWDD3,120
ZNF644,1956
CCDC18,312
RPAP2,1062
SLC66A2,4194
BBS9,911
PMS2,451
ZMIZ2,9241
OCM,11
SEPTIN7,7813
EEPD1,961
KLHL7,1306
HERPUD2,2326
CBX3,5139
HNRNPA2B1,30493
WIPF3,77
NXPH1,0
NPY,0
FAM126A,1545
HOXA7,26
INHBA,151
FKBP9,4992
NT5C3A,1167
ARL4A,1104
CCZ1,312
POLM,1966
RAMP3,3723
MRM2,7
TWIST1,17
SMU1,3039
GLIPR2,6379
SLC25A51,355
CLTA,3985
RECK,1360
SPINK4,0
TAF1L,2
ACO1,2126
PHF24,31
DNAI1,246
DCAF10,1720
CNTFR,48
KIAA1549,440
TRIM24,2110
CYREN,976
CALD1,10499
AKR1D1,1
NUDT10,44
SFTPA1,339321
NEUROG3,3
PLAU,1703
SRGN,11291
CHST3,802
BICC1,619
CISD1,587
EGR2,1365
ECD,1348
P4HA1,2213
SLC25A16,1760
ZWINT,262
VPS26A,2975
RBM19,1844
CIT,1727
IFT81,684
ACADS,1734
HVCN1,674
DDX54,2711
MED13L,5484
CDKN2C,357
RNF11,4450
RASSF8,2261
BHLHE41,2539
SSPN,777
ITPR2,2266
CCDC91,1144
NECAB1,1109
WWP1,3716
ACOT9,2690
PRDX4,1702
DDX39A,2251
PKN1,8875
TRIR,3555
ADGRE5,10800
WDR83,126
GIPC1,5297
ACTRT1,0
CCDC70,1
SPRYD7,1955
EBPL,1137
ATP7B,451
ZC3H13,3455
NLN,963
CENPK,118
OPTN,4712
ITIH5,3279
ATF1,1199
TSFM,23
NEUROD4,0
ARHGAP9,1916
NCKAP1L,6203
MMP19,2413
PFDN5,292
SPATS2,993
ORMDL2,281
NR4A1,18591
PDE1B,574
HOXC13,0
CDK2,1012
LRP1,44633
HOXC11,0
ATG101,612
NFE2,90
HOXC12,0
IKZF4,819
SMUG1,974
TUBA1B,2556
EEF1AKMT3,447
KBTBD4,210
SARDH,278
DBH,116
ATPAF1,1733
STIL,126
HJURP,62
IL13RA2,66
COL10A1,55
AMD1,4086
NDUFAF4,500
USP45,679
PLP1,13
SERPINA7,0
MORF4L2,5407
H2BW1,0
RAB9B,70
NRK,14
FAM199X,2370
ESX1,0
MAGEA9,0
ATXN3L,1
RAB9A,1362
METTL8,580
TTC21B,1342
NMI,1218
TNFAIP6,114
ACVR1C,51
BAZ2B,2725
SLC36A1,1989
LPGAT1,2666
BATF3,165
G0S2,1283
KCNJ2,592
RAP2C,2140
EXOSC9,1060
PLA2G12A,1204
B9D2,291
COQ8B,2083
PFKFB2,3991
C4BPA,23293
C4BPB,567
RAB38,373
GPR83,7
AGO2,3206
MXD4,7241
CKS2,561
DAW1,101
ACSL3,3849
CHPF,3483
DNPEP,4229
INHA,19
MOGAT1,19
OBSL1,5350
FAM124B,393
SLC12A4,6188
ENKD1,1143
MC3R,0
GCNT7,31
CTCFL,0
FAM210B,3387
PI3,6
FAM209A,9
SNX21,1185
SLPI,25565
WFDC3,30
TTPAL,693
PREX1,7098
KCNS1,42
SLC12A5,47
ARHGAP40,40
SDC4,23189
NCOA3,3591
PIGT,5211
SEMG2,0
MATN4,3
NCOA5,1908
VAPB,2962
PARD6B,1898
ATP5F1E,5892
CHD6,3118
PLCG1,5971
TOX2,1258
SRSF6,8042
GDAP1L1,7
GTSF1L,0
ARFGEF2,3303
ZNFX1,5563
ZNF831,586
EDN3,50
CSE1L,2593
PEDS1-UBE2V1,0
RAB22A,2343
PTGIS,1230
STAU1,5425
CDH26,295
SNAI1,149
MOCS3,415
STX16,5955
PMEPA1,2073
RNF114,4231
ANKRD60,0
DDX27,1926
RBPJL,1
SEMG1,0
C20orf85,288
BCAS4,361
KCNK15,33
TP53TG5,54
PCK1,0
ZBP1,365
NEURL2,14
MAGEA10,0
MTRR,2789
FASTKD3,382
PEPD,4711
CHST8,20
IQSEC2,1490
VAMP7,1950
VAMP7,0
IL9R,41
IL9R,0
XG,7
STAMBP,1824
NAGK,5301
MCEE,456
PAIP2B,442
SNRNP27,762
MPHOSPH10,1274
IL17C,7
ATP8A1,6202
USP22,5619
POF1B,205
HIF3A,1678
ZNF576,375
IRGC,0
ZNF45,625
LYPD3,69
PSG8,0
CEACAM8,4
NDP,3
USP9X,6642
CRISP2,16
F13A1,2061
GRM4,5
TRERF1,953
PACSIN1,82
BTN2A2,1900
SIRT5,847
MRS2,1497
WRNIP1,2315
RRP36,1122
BTN1A1,7
SNRPC,1867
SLC17A3,17
SLC17A1,2
SERPINB6,10900
XPO5,1367
ABCC10,2261
H1-3,4
PEX6,1825
NQO2,1306
AL365205.1,86
OARD1,1168
UNC5CL,254
AARS2,1135
H1-1,1
ZNF391,327
RPS10,48
MOCS1,1922
H2BC11,31
MED20,568
OR2B6,3
TBCC,857
SPDEF,175
TCP11,7
MAD2L1BP,695
APOBEC2,20
KLHDC3,3945
GNMT,78
DNAH8,20
TREM1,3323
MEA1,1109
KLHL31,47
COL21A1,748
CDKN1A,4362
SOX4,4806
GLO1,3896
CPNE5,274
KCNK17,443
RREB1,4476
SSR1,6162
RIOK1,754
NRN1,1354
SLC35B3,1126
RPP40,88
ATXN1,3571
NUP153,2926
DEK,5125
EEF1E1,193
CRISP1,0
RUNX2,705
OPN5,0
GCM2,0
LRRFIP1,11667
RAB17,3094
CXCL6,28
EREG,211
TRIM51,0
MYRF,4996
SCGB1D2,0
SCGB2A1,16
AHNAK,107292
EMC3,2916
SSUH2,12
WNT1,17
SH3TC1,2818
CNOT1,5582
LRRC29,262
BBS2,2550
MT1G,25
MT2A,4206
C16orf70,1054
GOT2,2583
DOK4,2616
PIWIL1,8
GPR18,31
CLYBL,234
TMTC4,787
RAP2A,2765
SLC10A2,3
ABCC4,1529
EFNB2,3313
SOX21,6
TM9SF2,9657
HROB,72
KIF25,60
IRF1,3594
UPF3B,722
RNF113A,553
SEPTIN6,2755
TMEM255A,584
NDUFA1,1580
AMELX,1
DMAC2L,841
BMP4,1211
PTGER2,740
FAM193A,2016
GRK4,141
SOX9,265
TEKT3,59
MYH2,26
HS3ST3B1,448
SLC25A35,616
MRPS7,1704
GGA3,3935
ARMC7,1185
NUP85,2009
SLC25A19,585
MIF4GD,1468
NT5C,465
MSTO1,330
TTF1,711
GTF3C4,1534
DDX31,661
BARHL1,2
KIR2DL1,16
PPP1R12C,6056
MBOAT7,3038
SRMS,19
OPRL1,16
SLC2A4RG,2457
NPBWR2,0
FNDC11,24
BHLHE23,0
PPDPF,11153
IL1B,225
PLGLB2,3
IL37,18
CHCHD5,528
PAX8,369
INSIG2,1903
POLR1B,934
CCDC93,2847
PSD4,4246
SLC25A23,4003
PSPN,208
GTF2F1,3634
ALKBH7,1518
CLPP,1510
TNFSF9,82
GRIA3,8
THOC2,3234
MED1,1804
RPL23,20687
AC046185.1,0
ATG4C,830
CD70,27
C3,49805
SH2D3A,1743
TRIP10,4332
GPR108,3914
TNFSF14,245
FOSB,21535
OPA3,1487
SNRPD2,3186
RTN2,275
EML2,2280
VASP,6230
SYMPK,5430
GPCPD1,10411
SDCBP2,356
PANK2,1295
TGM3,0
GNRH2,6
DEFB126,0
FOXA2,1878
CD93,14272
GZF1,899
PAX1,0
NAPB,945
CST8,0
NKX2-4,0
CENPB,4197
PSMF1,5469
NKX2-2,0
DTD1,357
CSTL1,0
RBCK1,6459
TMX4,3515
CST11,0
STK35,2110
SNRPB,2918
NRSN2,1273
AP5S1,560
RRBP1,12059
BMP2,3945
ZNF133,932
FLRT3,5839
OVOL2,339
PCSK2,20
GFRA4,0
MKKS,865
BFSP1,208
DSTN,20869
LAMP5,95
SNRPB2,1611
MGME1,706
LRRN4,1342
TBC1D20,3612
ITPA,1745
TCF15,54
OTOR,0
MCM8,208
BANF2,1
TMEM74B,238
FAM110A,881
SIRPD,10
MRPS26,1216
DEFB129,0
S1PR4,1167
NCLN,5261
CITED1,0
HNRNPR,4895
ZNF436,717
MAX,3398
CHURC1-FNTB,0
ARMCX5,568
GDF5,95
MMP24,1015
NECAB3,4111
ID1,3466
RALY,8303
DYNLRB1,226
C20orf173,0
EIF2S2,3135
ERGIC3,7896
ROMO1,1133
FAM83C,0
BPIFB1,216
CEP250,2049
PLAGL2,1863
MMP24OS,1889
GRPR,10
KDM5C,7774
AMOT,787
TMEM115,1967
PSMB2,3892
AGO3,2175
UROD,2431
ST3GAL3,199
TMEM53,605
HECTD3,3333
KLC1,2744
XRCC3,1540
TUBGCP3,1644
MCF2L,1078
F10,411
PCID2,2020
PROZ,8
SLURP1,0
LRFN3,654
IGFLR1,57
CAPNS1,16851
PDCD2L,80
GPR42,0
RBM42,3285
KIRREL2,4
UBA2,3577
FFAR2,30
HCST,73
FFAR1,8
COX6B1,3333
KRT36,10
THRA,3881
CCR7,680
NR1D1,322
FRMD8,2414
PRDX5,8943
BCL2L12,414
IRF3,4478
PRMT1,3884
RRAS,4968
PRRG2,387
SCAF1,4210
PRR12,4041
TSKS,21
FLRT1,32
ASL,908
SBDS,4009
CSN1S1,0
STATH,0
HTN1,0
STAT5A,3933
WNK4,27
BECN1,1936
PRKCG,7
TRAP1,996
GLIS2,2113
NSRP1,1691
DNAJC8,3490
AHDC1,1867
IFI6,6277
DACH2,4
ZNF384,827
EMG1,1024
SSX1,0
UXT,947
CFP,67
ELK1,1152
TIMM17B,1315
PCNX4,2509
ATG14,2444
KTN1,8923
SIX1,111
RHOJ,1837
DLGAP5,59
L3HYPDH,397
HSPA2,904
ZBTB1,2509
TRMT5,578
SGPP1,1747
PLEKHG3,2100
PZP,237
PRDM7,0
RHOT1,2390
EVI2A,735
OMG,433
DYNC2I1,1461
AIF1L,1283
FAM78A,1875
NUP214,3502
CTAG2,0
AVPR2,206
SLC10A3,1580
MAP2K2,5379
HNRNPH2,3377
ARMCX1,1272
TMEM35A,190
NXF5,7
TIMM8A,146
ZC4H2,397
CANX,23965
INTS11,5195
RGS13,118
IPPK,124
ZNF484,350
OMD,113
FGD3,3436
HIVEP3,1162
PPCS,1981
EDN2,66
BCL11B,977
COX7C,6414
TRAF2,1317
ABHD8,774
MASP1,554
ATP13A4,11159
PLAAT1,5
HELB,147
RAP1B,3002
IL22,1
TSPAN8,587
BEST3,1
RAB3IP,1104
PTPRB,7676
DYRK2,1742
YEATS4,553
TAS2R3,1
TAS2R4,112
TAS2R5,43
CRYGN,1
LRRC61,416
TRPV5,13
IDUA,1548
FGFRL1,1497
TMEM175,1945
AUNIP,14
PIN1,1939
FBXL12,1052
EMC1,2336
PLA2G5,259
UBR4,8478
HP1BP3,12646
ADGRE2,327
SIN3B,5028
OR7A10,0
SLC35E1,2857
EPS15L1,1824
KLF2,5431
OR7C2,0
OR7C1,6
F2RL3,400
UQCR11,481
GFER,245
SYNGR3,62
PKMYT1,120
WFIKKN1,143
WDR24,696
FBXL16,195
CHTF18,1028
GNG13,2
MACF1,42873
SMARCA4,6929
KDM4B,3348
TICAM1,1461
METTL25,375
IL17B,8
EMC6,17
OR1E2,0
METTL16,1748
TUBA4A,2134
VIL1,4
AAMP,4486
PNKD,6166
TNFRSF19,2095
RNF6,1533
ECHS1,3839
ZNF835,125
AKAP9,6863
GNG11,5872
SEM1,1849
GNGT1,0
HIP1,5066
PTPN12,8279
POR,7619
FGL2,3842
STYXL1,847
STEAP4,7007
GNAI1,1815
PEX1,1010
MTERF1,379
SGCE,2578
RBM48,739
CASD1,2482
ZNF780B,1053
LRFN1,247
ZFP36,51170
SRD5A3,859
SPINK2,16
RASL11B,5
PAICS,1550
KDR,5242
PPAT,337
TUBGCP6,6715
ADM2,124
DGCR6L,1713
DGCR8,1704
ASPHD2,80
VPREB3,13
SDF2L1,578
GAL3ST1,193
YWHAH,6365
RFPL1,0
RFPL2,21
GNAZ,184
MGAT3,2141
ADORA2A,21
ATF4,11363
A4GALT,639
RFPL3,4
CDC42EP1,5395
APOL3,5193
MCHR1,23
TPST2,3308
BAIAP2L2,147
MPST,3032
GALR3,2
TST,1731
APOL5,0
IGLL1,2
APOL2,3085
RAC2,3829
LIF,432
C22orf23,121
APOBEC3A,109
APOBEC3F,654
RIBC2,62
KRT17,449
EMC4,1259
RNF112,101
SPECC1,1203
CPA4,1
DOCK4,5102
POT1,1014
TAS2R16,0
ATP6V1F,2381
LSM8,2313
CDHR3,612
PRKRIP1,1528
VGF,1
PODXL,5300
FOXP2,496
STRIP2,113
IFT22,556
MKLN1,1851
DNAJB9,1872
FLNC,716
LRRC4,954
CALU,5261
CCDC136,115
SMO,403
IRF5,2644
LRRC17,172
KLHDC10,2880
NDUFA5,3308
FEZF1,18
OPN1SW,0
MRPS12,773
MYO1B,13810
HOXD1,44
HOXD3,12
MTX2,1043
PDE11A,4
CHN1,1546
GAD1,28
OSGEPL1,454
ORMDL1,3823
HAT1,1463
HOXD9,23
HOXD10,2
HOXD11,0
HOXD13,0
HERC2,4375
SNRPN,176
PSMG2,2150
TWSG1,2216
ARHGAP22,681
WDFY4,3634
EIF2AK4,2816
MYO5C,4778
CGNL1,6293
TMOD2,1109
TTBK2,934
ELL3,6
CCDC32,330
INO80,2887
ICE2,1922
DLL4,2472
ALDH1A2,138
MINDY2,2705
IVD,4864
KNSTRN,310
DUT,2336
CHAC1,152
CLN6,994
ARPP19,7063
VPS13C,6958
CALML4,9
ISLR,2297
THAP10,103
LOXL1,715
ACKR4,304
ANAPC13,1900
MBD4,2067
COPB1,4744
PSMA1,411
SUMF2,5816
PALLD,5809
SPCS3,6676
BBOX1,4
MYOD1,0
SERGEF,522
KCNC1,7
TPH1,60
CSRP3,0
E2F8,48
DCTD,3032
SOX15,56
PIMREG,13
RPAIN,1431
USP6,92
SHBG,17
PLD2,2743
AIPL1,1
CD68,8
TXNDC17,1007
ATP1B2,366
FXR2,2176
KIF1C,12634
MPDU1,2338
PHF20L1,1944
LRRC6,338
CCNT1,1779
PUS7L,978
KRI1,1822
ILF3,13819
SLC44A2,16692
AP1M2,1921
CDKN2D,422
MTUS1,5861
KLK14,34
SIGLEC9,577
KLK10,509
KLK8,0
NGDN,1119
RIPK3,710
ADCY4,2225
RAB2B,1613
BCL2L2,2905
AJUBA,2814
DTD2,183
PARP2,912
HEATR5A,1995
FOXA1,1026
SNX6,2897
EAPP,1353
EGLN3,454
MIS18BP1,1603
NRL,93
RNASE1,24312
NEDD8,687
DAD1,3396
TEP1,4106
EPB41L4A,309
CDO1,428
REEP5,7825
ITFG1,2306
QRICH2,826
FOXJ1,788
SEC14L1,7761
RHBDF2,2317
AANAT,11
ARHGEF6,4631
MAP7D3,528
FGF13,180
ASH2L,2225
TTI2,300
ART1,9
CHRNA10,68
CDKN1C,1616
SGO1,32
RPS4Y1,5
VCY1B,0
VCY,0
CDY2B,0
CDH15,94
KLF16,528
PGAP6,4577
DOHH,518
MAU2,4952
SHC2,2540
PLPPR3,81
INS-IGF2,0
ABHD17A,3445
LBP,3
SYT5,2
TNNI3,5
CBFA2T3,863
GAMT,241
PUDP,1176
ERMARD,1268
