,e0e9a0df-7052-4d42-b3fd-10ee23ceae62
RUFY3,4728
CNTN1,456
SLC11A1,9466
WWTR1,5959
AGPS,2817
CXorf56,988
ATP1A2,386
TTC27,593
ZNF582,116
VSIG2,3424
PHLDB1,4674
MARCO,15564
CYP24A1,81
PRDM11,1078
SYT13,24
SNAI2,467
CD74,318678
HGF,1673
ZRANB1,758
NCDN,1391
ADGRA2,2591
ZFP64,677
MNAT1,311
SAMD4A,2261
RUNX3,2341
MRE11,1837
PLEKHB1,1123
SERPINB1,7526
CYP3A43,19
SLC7A9,34
SPAST,1272
NRXN3,354
OSBPL5,1913
AQR,2497
CPS1,207
C8B,32
FHL1,14099
RTF2,2471
GABRA1,0
NLRP2,860
SLC45A4,1823
RNF10,7479
ZNF839,574
ZDHHC6,1934
GRAMD1B,636
RNH1,14396
NDUFS1,3150
RB1CC1,3315
ERP44,3434
ALAS1,4191
BIRC3,5265
AKAP11,4386
GLRX2,747
SNAPC1,335
DERA,1550
STRAP,2880
ABCC2,91
DEF6,2304
PLEKHO1,3716
GCLM,1120
UBR2,3874
EHD2,13993
DEPDC1,45
CCDC28A,1659
RRAGD,2029
HSF2,831
PHF20,2436
HSD17B6,5403
NR1H3,3585
TYMP,6536
NCAPH2,2752
TOMM34,1167
SEC63,4883
KPNA6,3363
VIM,44841
RTEL1-TNFRSF6B,291
FAS,1957
RNASET2,2485
CD44,28714
KCNG1,1
AGPAT4,1756
SLAMF7,1896
BTN3A1,6064
MIPEP,692
PRKCH,3407
INSRR,3
IFNGR1,11932
B4GALT7,1283
SH2D2A,651
VRK2,443
TNFRSF1B,6283
VEZT,3554
POU2F2,538
BRD9,2564
SNX1,9206
TBPL1,521
ARNTL2,280
BCLAF1,6680
SLC39A9,3620
ANK1,58
IBSP,2
TFB1M,369
RABEP1,1976
HMGB3,691
NUP160,2760
BAK1,733
MUSK,131
IKZF2,861
GRN,63300
FAM13B,1581
ARHGAP31,6338
CENPQ,227
SARS1,6049
RANBP3,3839
ARID4A,2262
EIPR1,817
PNPLA6,9032
IFT88,789
ALG1,652
ZCCHC8,1544
ABCF2,536
CHPF2,2801
LRRC7,67
FUT8,965
UBA6,2247
GAB2,4956
ATP6V0A1,5981
PIAS1,3341
SLC4A7,1753
APBA2,308
MAP2K3,2950
EFCAB1,300
TMSB10,33909
ASTE1,374
RNF19A,5265
PEX3,565
GABARAPL2,3918
MYOC,56
SH3YL1,2557
FAM136A,1375
VCL,9380
DEPDC1B,49
DAPK2,4342
NSMAF,2346
ADSS2,2259
STAP1,43
TIMP2,19780
RFC1,3189
TBC1D23,1887
CUL3,2244
MYOM2,171
OTC,41
CYP46A1,86
ZZZ3,2123
SLC18A1,29
USP2,199
CASR,340
TUBG2,1305
RPL26L1,390
FLT4,3687
NSUN2,2726
FBXO42,2133
MFAP3,605
MRI1,772
METTL1,251
HOXC8,0
AGA,904
PI4K2B,2079
BOD1L1,3332
MAT2B,4699
TLL1,369
EDC4,2670
TRIO,4597
VCAN,1978
CLEC16A,3141
MSR1,7623
CDH1,8208
MTREX,2267
DNAH5,656
ZFYVE16,2271
RIPOR1,5301
C6,200
RAI14,3904
SOX30,17
PNKP,2220
BEST2,3
PHLPP2,687
SPDL1,293
STAU2,1552
